ID,Title,Epic,Milestone,Priority,Size,Type,Status,Blocked by,Labels,Outcome,Local brief,Issue body
HUD-062,Build the complete canvas-only widget showcase and API consistency audit,E09,M3,P0,L,quality,planned,"HUD-056, HUD-057, HUD-058, HUD-059, HUD-060, HUD-061","area:quality, area:showcase, area:widgets, epic:E09, milestone:M3, priority:P0, size:L, type:quality","One vertical demo proves the full product proposition—smooth text, pixel text, bars, radial UI, crosshair, inventory, hotbar, themes, scaling, and pointer interaction rendered inside the Three.js canvas.",planning/tickets/E09/HUD-062-build-the-complete-canvas-only-widget-showcase-and-api-consistency-audit.md,planning/github/issue-bodies/HUD-062.md
HUD-063,"Create the unit-test harness, deterministic clocks, and mock GPU/text boundaries",E10,M4,P0,L,quality,planned,"HUD-003, HUD-012, HUD-024, HUD-034","area:quality, area:testing, epic:E10, milestone:M4, priority:P0, size:L, type:quality","Pure math, tree, layout, input, widgets, and lifecycle behavior can be tested without a real GPU, while renderer/backend integration remains covered by focused browser tests.",planning/tickets/E10/HUD-063-create-the-unit-test-harness-deterministic-clocks-and-mock-gputext-boundaries.md,planning/github/issue-bodies/HUD-063.md
HUD-064,Implement visual regression harness and browser/renderer scenario matrix,E10,M4,P0,XL,quality,planned,"HUD-031, HUD-038, HUD-045, HUD-050, HUD-054, HUD-062","area:quality, area:visual, epic:E10, milestone:M4, priority:P0, size:XL, type:quality","Visual output is captured through deterministic routes/configurations with approved baselines for WebGL, approved WebGPU modes, text backends, DPR, scale, clipping, and interaction states.",planning/tickets/E10/HUD-064-implement-visual-regression-harness-and-browserrenderer-scenario-matrix.md,planning/github/issue-bodies/HUD-064.md
HUD-065,"Implement benchmark runner, statistics, and enforceable performance budgets",E10,M4,P0,XL,quality,planned,"HUD-014, HUD-026, HUD-031, HUD-038, HUD-041, HUD-062","area:performance, area:quality, epic:E10, milestone:M4, priority:P0, size:XL, type:quality","Cold initialization, font preparation, layout, updates, command generation, uploads, draw calls, allocations, and memory are measured in reproducible scenarios with report and verify modes.",planning/tickets/E10/HUD-065-implement-benchmark-runner-statistics-and-enforceable-performance-budgets.md,planning/github/issue-bodies/HUD-065.md
HUD-066,"Verify disposal, context/device loss, cancellation, and memory ownership",E10,M4,P0,XL,quality,planned,"HUD-016, HUD-025, HUD-026, HUD-033, HUD-039, HUD-042, HUD-044","area:quality, area:resources, epic:E10, milestone:M4, priority:P0, risk:high, size:XL, type:quality","Every owned CPU, Three.js, texture, font, worker, shader, and GPU resource has one owner and survives failure/cancellation without leak, double-dispose, or stale publication.",planning/tickets/E10/HUD-066-verify-disposal-contextdevice-loss-cancellation-and-memory-ownership.md,planning/github/issue-bodies/HUD-066.md
HUD-067,"Enforce SSR-safe import, tree shaking, bundle budgets, and packed-consumer integrity",E10,M4,P0,L,quality,planned,"HUD-001, HUD-003, HUD-039, HUD-042, HUD-044","area:packaging, area:quality, epic:E10, milestone:M4, priority:P0, size:L, type:quality","The actual packed npm tarball imports in Node without browser side effects, typechecks in an external consumer, and keeps optional text backends out of the main entry and within measured size budgets.",planning/tickets/E10/HUD-067-enforce-ssr-safe-import-tree-shaking-bundle-budgets-and-packed-consumer-integrit.md,planning/github/issue-bodies/HUD-067.md
HUD-068,Publish the tested compatibility matrix and release QA report,E10,M4,P0,L,quality,planned,"HUD-006, HUD-041, HUD-043, HUD-045, HUD-064, HUD-065, HUD-066, HUD-067","area:compatibility, area:release, epic:E10, milestone:M4, priority:P0, size:L, type:quality","The release states exactly which Three.js version range, renderer/backend, browser profile, font format, text backend, and feature combinations were tested, supported, experimental, unsupported, or untested.",planning/tickets/E10/HUD-068-publish-the-tested-compatibility-matrix-and-release-qa-report.md,planning/github/issue-bodies/HUD-068.md
HUD-069,Write public API reference and minimal getting-started paths,E11,M4,P0,L,docs,planned,"HUD-012, HUD-016, HUD-023, HUD-025, HUD-034, HUD-055","area:api, area:docs, epic:E11, milestone:M4, priority:P0, size:L, type:docs","A vanilla Three.js user can install the package, create a HUD, register a font/backend, add a layer and widget, resize, update, render, and dispose it without reading source code.",planning/tickets/E11/HUD-069-write-public-api-reference-and-minimal-getting-started-paths.md,planning/github/issue-bodies/HUD-069.md
HUD-070,"Write typography, pixel-art, font-source, and license guides",E11,M4,P0,L,docs,planned,"HUD-032, HUD-037, HUD-039, HUD-042, HUD-044, HUD-045, HUD-068","area:docs, area:legal, area:text, epic:E11, milestone:M4, priority:P0, size:L, type:docs","Users understand when to choose analytic, SDF, bitmap, or auto mode; how to self-host Google Fonts or other licensed fonts; and why pixel-perfect presentation requires native-size and integer-scale discipline.",planning/tickets/E11/HUD-070-write-typography-pixel-art-font-source-and-license-guides.md,planning/github/issue-bodies/HUD-070.md
HUD-071,Write widget recipes and document every playground lab,E11,M4,P1,L,docs,planned,"HUD-062, HUD-064, HUD-065","area:docs, area:playground, epic:E11, milestone:M4, priority:P1, size:L, type:docs","The showcase and labs become reusable recipes for bars, cooldowns, gauges, crosshairs, inventory, hotbars, themes, backend comparison, scaling, diagnostics, and performance profiling.",planning/tickets/E11/HUD-071-write-widget-recipes-and-document-every-playground-lab.md,planning/github/issue-bodies/HUD-071.md
HUD-072,"Implement versioning, changelog, release automation, and provenance dry-run",E11,M4,P0,L,release,planned,"HUD-005, HUD-067, HUD-068, HUD-069, HUD-070, HUD-071","area:packaging, area:release, epic:E11, milestone:M4, priority:P0, size:L, type:release","Releases are produced from a clean, validated commit through a repeatable dry-run-first workflow with semver policy, generated changelog, package provenance, and rollback instructions.",planning/tickets/E11/HUD-072-implement-versioning-changelog-release-automation-and-provenance-dry-run.md,planning/github/issue-bodies/HUD-072.md
HUD-073,Close the v0.1 release candidate and publish v0.1.0,E11,M5,P0,L,release,planned,"HUD-063, HUD-064, HUD-065, HUD-066, HUD-067, HUD-068, HUD-069, HUD-070, HUD-071, HUD-072","area:release, epic:E11, milestone:M5, milestone:v0.1, priority:P0, size:L, type:release","One approved commit satisfies the product, architecture, compatibility, legal, visual, performance, memory, package, documentation, and release gates and is published as `v0.1.0` with evidence.",planning/tickets/E11/HUD-073-close-the-v0-1-release-candidate-and-publish-v0-1-0.md,planning/github/issue-bodies/HUD-073.md
